date,seller_id,gross_orders,cancelled_value,returns_resolved_value,units
2026-08-31,S01,14840,445,148,18
2026-08-31,S02,10070,302,101,12
2026-08-31,S03,6572,197,66,8
2026-08-31,S04,12190,366,122,15
2026-08-31,S05,5088,153,51,6
2026-08-31,S06,8268,248,83,10
2026-08-31,S07,4346,130,43,5
2026-08-31,S08,7314,219,73,9
2026-08-31,S09,3816,114,38,4
2026-08-31,S10,2726,82,27,3
2026-09-01,S01,14000,420,140,17
2026-09-01,S02,9500,285,95,11
2026-09-01,S03,6200,186,62,7
2026-09-01,S04,11500,345,115,14
2026-09-01,S05,4800,144,48,6
2026-09-01,S06,7800,234,78,9
2026-09-01,S07,4100,123,41,5
2026-09-01,S08,6900,207,69,8
2026-09-01,S09,3600,108,36,4
2026-09-01,S10,2987,90,30,3
2026-09-02,S01,13160,395,132,16
2026-09-02,S02,8930,268,89,11
2026-09-02,S03,5828,175,58,7
2026-09-02,S04,10810,324,108,13
2026-09-02,S05,4512,135,45,5
2026-09-02,S06,7332,220,73,9
2026-09-02,S07,3854,116,39,4
2026-09-02,S08,6486,195,65,8
2026-09-02,S09,3384,102,34,4
2026-09-02,S10,2813,84,28,3
2026-09-03,S01,14420,433,144,18
2026-09-03,S02,9785,294,98,12
2026-09-03,S03,6386,192,64,7
2026-09-03,S04,11845,355,118,14
2026-09-03,S05,4944,148,49,6
2026-09-03,S06,8034,241,80,10
2026-09-03,S07,4223,127,42,5
2026-09-03,S08,7107,213,71,8
2026-09-03,S09,3708,111,37,4
2026-09-03,S10,3074,92,31,3
2026-09-04,S01,13580,407,136,16
2026-09-04,S02,9215,276,92,11
2026-09-04,S03,6014,180,60,7
2026-09-04,S04,11155,335,112,13
2026-09-04,S05,4656,140,47,5
2026-09-04,S06,7566,227,76,9
2026-09-04,S07,3977,119,40,4
2026-09-04,S08,6693,201,67,8
2026-09-04,S09,3492,105,35,4
2026-09-04,S10,2900,87,29,3
2026-09-05,S01,14840,445,148,18
2026-09-05,S02,10070,302,101,12
2026-09-05,S03,6572,197,66,8
2026-09-05,S04,12190,366,122,15
2026-09-05,S05,5088,153,51,6
2026-09-05,S06,8268,248,83,10
2026-09-05,S07,4346,130,43,5
2026-09-05,S08,7314,219,73,9
2026-09-05,S09,3816,114,38,4
2026-09-05,S10,2726,82,27,3
2026-09-06,S01,14000,420,140,17
2026-09-06,S02,9500,285,95,11
2026-09-06,S03,6200,186,62,7
2026-09-06,S04,11500,345,115,14
2026-09-06,S05,2160,65,22,2
2026-09-06,S06,7800,234,78,9
2026-09-06,S07,4100,123,41,5
2026-09-06,S08,6900,207,69,8
2026-09-06,S09,3600,108,36,4
2026-09-06,S10,2987,90,30,3
2026-09-07,S01,13160,395,132,16
2026-09-07,S02,8930,268,89,11
2026-09-07,S03,5828,175,58,7
2026-09-07,S04,10810,324,108,13
2026-09-07,S05,2030,61,20,2
2026-09-07,S06,7332,220,73,9
2026-09-07,S07,3854,116,39,4
2026-09-07,S08,6486,195,65,8
2026-09-07,S09,3384,102,34,4
2026-09-07,S10,2813,84,28,3
